id,categoria,subcategoria,item,marca_modelo,unidade,quantidade_inicial,estoque_minimo,preco_unit_min,preco_unit_max,prioridade,fase_compra,status_sanitario,ambiente,grupo_escolha,fornecedor,url,observacao,data_preco
105,Esterilização,Consumíveis,Água destilada 5 L,Fabricante regular,galão,2,1,15,30,CONDICIONAL,Após validação,PROCESSAMENTO CONDICIONAL,Área técnica,,Distribuidor,,Usar conforme manual da autoclave.,2026-08-29
106,Esterilização,Instrumental,Cuba e bandeja inox,Tamanhos compatíveis,un,4,2,60,250,CONDICIONAL,Após validação,PROCESSAMENTO CONDICIONAL,Área técnica,,Distribuidor,,Fluxo sujo/limpo segregado.,2026-08-29
107,Esterilização,Instrumental,Escova para limpeza de artigos,Cabo longo,un,4,2,15,50,CONDICIONAL,Após validação,PROCESSAMENTO CONDICIONAL,Área técnica,,Distribuidor,,"Uso, secagem e substituição definidos pelo POP.",2026-08-29
108,Conforto,Recepção,Apoio para bolsas,Gancho/prateleira lavável,un,2,0,50,150,BAIXA,Fase 1,NÃO REGULADO,Recepção,,Varejo,,Fixação segura fora da rota.,2026-08-29
109,Conforto,Recepção,Porta-guarda-chuvas,Bandeja removível,un,1,0,120,300,BAIXA,Fase 1,NÃO REGULADO,Recepção,,Varejo,,Evitar água na rota acessível.,2026-08-29
110,Conforto,Recepção,Caixa de som ambiente,Volume limitado,un,1,0,200,600,BAIXA,Fase 1,PRIVACIDADE,Recepção,,Varejo,,Não mascarar chamadas nem conversas clínicas.,2026-08-29
111,Conforto,Recepção,Carregador USB-C certificado,Múltiplas portas,un,2,1,80,250,BAIXA,Fase 1,SEGURANÇA ELÉTRICA,Recepção,,Varejo,,Instalar sem cabos atravessando circulação.,2026-08-29
112,Área externa,Drenagem,Grama sintética permeável,"30–35 mm, proteção UV",m²,19.44,0,80,180,MÉDIA,Obra,FICHA TÉCNICA,Área externa,,Cotação regional,,Quantidade inclui 8% de perdas; exigir vazão ensaiada.,2026-08-29
113,Área externa,Drenagem,Piso permeável da rota acessível,Paver/drenante antiderrapante,m²,12.96,0,100,220,ALTA,Obra,ACESSIBILIDADE,Área externa,,Cotação regional,,Quantidade inclui 8% de perdas.,2026-08-29
114,Área externa,Drenagem,Geotêxtil não tecido,Separação de camadas,m²,33,0,8,20,ALTA,Obra,ESPECIFICAR GRAMATURA,Área externa,,Cotação regional,,Inclui 10% de sobreposição/perdas.,2026-08-29
115,Área externa,Drenagem,Base granular solta,Brita graduada/aberta,m³,3.6,0,180,350,ALTA,Obra,DIMENSIONAR SOLO,Área externa,,Cotação regional,,Inclui 20% de acomodação.,2026-08-29
116,Área externa,Drenagem,Regularização fina,Pó de pedra/agregado drenante,m³,1.44,0,180,320,ALTA,Obra,DIMENSIONAR SOLO,Área externa,,Cotação regional,,Não selar a base.,2026-08-29
117,Área externa,Drenagem,Dreno linear com grelha,Grelha compatível com rota,m,10,0,120,300,ALTA,Obra,DIMENSIONAR HIDRÁULICA,Área externa,,Cotação regional,,Duas caixas de inspeção adicionais.,2026-08-29
